iter	Passed	Remaining
598	5130	3434
599	5138	3425
600	5147	3417
601	5156	3409
602	5165	3400
603	5173	3391
604	5182	3383
605	5190	3374
606	5199	3366
607	5207	3357
608	5216	3348
609	5225	3340
610	5233	3332
611	5243	3324
612	5251	3315
613	5258	3306
614	5266	3296
615	5275	3288
616	5283	3279
617	5292	3271
618	5301	3262
619	5309	3254
620	5318	3245
621	5326	3236
622	5335	3228
623	5343	3220
624	5352	3211
625	5360	3202
626	5369	3194
627	5377	3185
628	5384	3176
629	5392	3167
630	5402	3159
631	5410	3150
632	5419	3142
633	5427	3133
634	5436	3124
635	5445	3116
636	5454	3108
637	5463	3099
638	5472	3091
639	5480	3082
640	5489	3074
641	5498	3065
642	5506	3057
643	5515	3048
644	5524	3040
645	5532	3031
646	5541	3023
647	5551	3015
648	5559	3006
649	5567	2998
650	5576	2989
651	5585	2981
652	5594	2972
653	5602	2963
654	5610	2955
655	5619	2946
656	5628	2938
657	5636	2929
658	5644	2920
659	5652	2911
660	5659	2902
661	5669	2894
662	5677	2885
663	5686	2877
664	5694	2868
665	5703	2860
666	5711	2851
667	5720	2842
668	5727	2833
669	5736	2825
670	5744	2816
671	5754	2808
672	5762	2800
673	5771	2791
674	5778	2782
675	5785	2773
676	5794	2764
677	5802	2755
678	5812	2747
679	5820	2739
680	5829	2730
681	5838	2722
682	5846	2713
683	5854	2704
684	5862	2696
685	5871	2687
686	5879	2678
687	5888	2670
688	5898	2662
689	5906	2653
690	5914	2644
691	5924	2636
692	5933	2628
693	5941	2619
694	5950	2611
695	5959	2603
696	5968	2594
697	5977	2586
698	5986	2577
699	5994	2569
700	6002	2560
701	6010	2551
702	6019	2543
703	6027	2534
704	6036	2525
705	6045	2517
706	6053	2508
707	6062	2500
708	6070	2491
709	6078	2482
710	6087	2474
711	6096	2465
712	6104	2457
713	6113	2448
714	6122	2440
715	6131	2431
716	6138	2422
717	6147	2414
718	6156	2406
719	6166	2397
720	6174	2389
721	6183	2380
722	6192	2372
723	6202	2364
724	6210	2355
725	6219	2347
726	6228	2338
727	6237	2330
728	6246	2322
729	6255	2313
730	6264	2305
731	6272	2296
732	6283	2288
733	6292	2280
734	6301	2271
735	6309	2263
736	6319	2255
737	6329	2246
738	6338	2238
739	6347	2230
740	6355	2221
741	6363	2212
742	6373	2204
743	6382	2196
744	6391	2187
745	6399	2179
746	6408	2170
747	6417	2162
748	6427	2153
749	6435	2145
750	6445	2136
751	6453	2128
752	6463	2120
753	6472	2111
754	6481	2103
755	6489	2094
756	6498	2086
757	6507	2077
758	6517	2069
759	6526	2060
760	6534	2052
761	6543	2043
762	6551	2035
763	6560	2026
764	6567	2017
765	6576	2009
766	6585	2000
767	6594	1992
768	6603	1983
769	6611	1974
770	6620	1966
771	6628	1957
772	6637	1949
773	6645	1940
774	6653	1931
775	6662	1923
776	6669	1914
777	6678	1905
778	6688	1897
779	6697	1888
780	6705	1880
781	6714	1871
782	6723	1863
783	6732	1854
784	6740	1846
785	6749	1837
786	6757	1828
787	6765	1820
788	6775	1811
789	6783	1803
790	6792	1794
791	6800	1785
792	6809	1777
793	6818	1769
794	6828	1760
795	6836	1752
796	6845	1743
797	6853	1734
798	6861	1726
799	6870	1717
800	6879	1709
801	6887	1700
802	6896	1691
803	6905	1683
804	6914	1674
805	6923	1666
806	6932	1657
807	6940	1649
808	6949	1640
809	6956	1631
810	6966	1623
811	6974	1614
812	6983	1606
813	6992	1597
814	7000	1589
815	7010	1580
816	7018	1572
817	7027	1563
818	7036	1555
819	7045	1546
820	7053	1537
821	7062	1529
822	7069	1520
823	7079	1512
824	7088	1503
825	7097	1495
826	7106	1486
827	7115	1478
828	7124	1469
829	7133	1461
830	7141	1452
831	7149	1443
832	7158	1435
833	7166	1426
834	7175	1417
835	7184	1409
836	7194	1401
837	7202	1392
838	7211	1383
839	7220	1375
840	7228	1366
841	7236	1357
842	7245	1349
843	7253	1340
844	7262	1332
845	7271	1323
846	7280	1315
847	7288	1306
848	7296	1297
849	7305	1289
850	7314	1280
851	7321	1271
852	7329	1263
853	7339	1254
854	7348	1246
855	7356	1237
856	7364	1228
857	7373	1220
858	7382	1211
859	7390	1203
860	7399	1194
861	7408	1185
862	7417	1177
863	7425	1168
864	7434	1160
865	7441	1151
866	7449	1142
867	7458	1134
868	7466	1125
869	7475	1117
870	7484	1108
871	7494	1100
872	7503	1091
873	7511	1082
874	7520	1074
875	7528	1065
876	7537	1057
877	7546	1048
878	7553	1039
879	7561	1031
880	7569	1022
881	7577	1013
882	7586	1005
883	7593	996
884	7603	987
885	7611	979
886	7620	970
887	7630	962
888	7638	953
889	7647	945
890	7656	936
891	7664	928
892	7672	919
893	7681	910
894	7690	902
895	7698	893
896	7707	885
897	7716	876
898	7724	867
899	7732	859
900	7741	850
901	7749	841
902	7758	833
903	7767	824
904	7776	816
905	7786	807
906	7794	799
907	7803	790
908	7812	782
909	7820	773
910	7828	764
911	7838	756
912	7845	747
913	7854	739
914	7863	730
915	7872	721
916	7880	713
917	7889	704
918	7898	696
919	7906	687
920	7915	678
921	7923	670
922	7932	661
923	7940	653
924	7949	644
925	7958	635
926	7966	627
927	7975	618
928	7983	610
929	7991	601
930	8000	592
931	8009	584
932	8018	575
933	8027	567
934	8036	558
935	8045	550
936	8054	541
937	8062	532
938	8071	524
939	8079	515
940	8088	507
941	8097	498
942	8106	489
943	8115	481
944	8123	472
945	8132	464
946	8140	455
947	8148	446
948	8156	438
949	8166	429
950	8175	421
951	8182	412
952	8191	403
953	8200	395
954	8209	386
955	8218	378
956	8226	369
957	8234	361
958	8242	352
959	8251	343
960	8260	335
961	8269	326
962	8278	318
963	8286	309
964	8295	300
965	8304	292
966	8313	283
967	8323	275
968	8332	266
969	8340	257
970	8349	249
971	8358	240
972	8367	232
973	8376	223
974	8384	214
975	8393	206
976	8402	197
977	8410	189
978	8418	180
979	8427	171
980	8436	163
981	8444	154
982	8452	146
983	8461	137
984	8469	128
985	8479	120
986	8487	111
987	8496	103
988	8505	94
989	8514	86
990	8523	77
991	8533	68
992	8541	60
993	8549	51
994	8558	43
995	8567	34
996	8576	25
997	8585	17
998	8593	8
999	8601	0
